panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
3,12:44:43,25/09/24,7212,151,1092,,
1,12:54:43,25/09/24,9204,189,1744,,
2,12:54:43,25/09/24,9504,191,1816,0.00,0.00
3,12:54:43,25/09/24,8912,187,1664,,
1,13:04:43,25/09/24,9680,199,1926,,
2,13:04:43,25/09/24,9652,192,1868,0.00,0.00
3,13:04:43,25/09/24,9116,191,1744,,
1,13:14:43,25/09/24,17872,368,6580,,
2,13:14:43,25/09/24,15220,306,4666,0.00,60.00
3,13:14:43,25/09/24,17808,373,6666,,
1,13:24:43,25/09/24,18376,378,6950,,
2,13:24:43,25/09/24,16668,335,5588,0.00,60.00
3,13:24:43,25/09/24,18088,379,6862,,
1,13:34:43,25/09/24,17264,356,6130,,
2,13:34:43,25/09/24,15508,310,4816,0.00,60.00
3,13:34:43,25/09/24,17156,359,6168,,
1,13:44:46,25/09/24,10256,211,2166,,
2,13:44:46,25/09/24,10340,208,2150,-31.46,28.25
3,13:44:46,25/09/24,9420,197,1854,,
1,13:54:43,25/09/24,9104,187,1708,,
2,13:54:43,25/09/24,8716,175,1528,-31.39,30.40
3,13:54:43,25/09/24,8316,174,1452,,
1,14:04:43,25/09/24,7692,158,1222,,
2,14:04:43,25/09/24,7084,142,1010,-31.32,32.49
3,14:04:43,25/09/24,6164,129,800,,
1,14:14:43,25/09/24,17544,360,6328,,
2,14:14:43,25/09/24,16856,338,5702,-31.24,34.51
3,14:14:43,25/09/24,15388,323,4970,,
1,14:24:43,25/09/24,7024,144,1016,,
2,14:24:43,25/09/24,6508,130,852,-31.14,36.47
3,14:24:43,25/09/24,5704,119,678,,
1,14:34:41,25/09/24,4940,101,502,,
2,14:34:41,25/09/24,5024,101,508,0.00,30.00
3,14:34:41,25/09/24,4128,86,358,,
1,14:44:46,25/09/24,3916,80,314,,
2,14:44:46,25/09/24,3576,71,256,-30.92,40.18
3,14:44:46,25/09/24,3552,74,266,,
1,14:54:41,25/09/24,3144,64,204,,
2,14:54:41,25/09/24,3812,76,288,0.00,0.00
3,14:54:41,25/09/24,3348,70,236,,
1,15:04:43,25/09/24,3108,64,200,,
2,15:04:43,25/09/24,3656,73,268,0.00,0.00
3,15:04:43,25/09/24,3512,73,258,,
1,15:14:43,25/09/24,2192,45,98,,
2,15:14:43,25/09/24,3184,63,200,0.00,0.00
3,15:14:43,25/09/24,2924,61,180,,
1,15:24:46,25/09/24,2316,47,112,,
2,15:24:46,25/09/24,2104,42,88,-30.24,46.65
3,15:24:46,25/09/24,2576,53,138,,
1,15:34:41,25/09/24,2328,48,112,,
2,15:34:41,25/09/24,3104,62,194,0.00,0.00
3,15:34:41,25/09/24,2956,62,184,,
1,15:44:46,25/09/24,1728,35,62,,
2,15:44:46,25/09/24,1672,34,56,-29.72,49.37
3,15:44:46,25/09/24,2468,51,128,,
1,15:54:41,25/09/24,1992,41,82,,
2,15:54:41,25/09/24,2688,54,138,0.00,0.00
3,15:54:41,25/09/24,2492,52,132,,
1,16:04:43,25/09/24,1172,24,30,,
2,16:04:43,25/09/24,1800,37,58,0.00,0.00
3,16:04:43,25/09/24,1668,35,58,,
1,16:14:43,25/09/24,1520,31,50,,
2,16:14:43,25/09/24,2144,42,92,0.00,0.00
3,16:14:43,25/09/24,1968,41,82,,
1,16:24:43,25/09/24,928,19,20,,
2,16:24:43,25/09/24,1132,23,26,0.00,0.00
3,16:24:43,25/09/24,1000,21,20,,
1,16:34:43,25/09/24,628,13,10,,
2,16:34:43,25/09/24,936,19,16,0.00,0.00
3,16:34:43,25/09/24,808,17,14,,
1,16:44:43,25/09/24,524,11,6,,
2,16:44:43,25/09/24,684,14,10,0.00,0.00
3,16:44:43,25/09/24,636,13,10,,
1,16:54:43,25/09/24,748,15,14,,
2,16:54:43,25/09/24,940,19,20,0.00,30.00
3,16:54:43,25/09/24,844,17,16,,
1,17:04:46,25/09/24,712,15,10,,
2,17:04:46,25/09/24,716,14,10,-22.35,56.31
3,17:04:46,25/09/24,940,19,20,,
1,17:14:50,25/09/24,452,9,4,,
2,17:14:50,25/09/24,464,9,4,-18.90,56.71
3,17:14:50,25/09/24,476,10,4,,
1,17:24:56,25/09/24,180,4,0,,
2,17:24:56,25/09/24,184,4,0,-12.56,57.00
3,17:24:56,25/09/24,196,4,0,,
1,17:34:59,25/09/24,92,2,0,,
2,17:34:59,25/09/24,92,2,0,1.96,57.18
3,17:34:59,25/09/24,140,3,0,,
1,17:45:08,25/09/24,28,1,0,,
2,17:45:08,25/09/24,20,1,0,44.58,57.26
3,17:45:08,25/09/24,40,0,0,,
1,05:45:09,26/09/24,0,0,0,,
2,05:45:09,26/09/24,0,0,0,63.93,-57.24
3,05:45:09,26/09/24,0,0,0,,
1,05:55:04,26/09/24,16,0,0,,
2,05:55:04,26/09/24,64,1,0,15.59,-57.20
3,05:55:04,26/09/24,52,1,0,,
1,06:04:59,26/09/24,24,1,0,,
2,06:04:59,26/09/24,96,2,0,-5.43,-57.05
3,06:04:59,26/09/24,88,1,0,,
1,06:14:56,26/09/24,48,1,0,,
2,06:14:56,26/09/24,140,3,0,-14.44,-56.79
3,06:14:56,26/09/24,156,3,0,,
1,06:24:55,26/09/24,80,2,0,,
2,06:24:55,26/09/24,232,5,0,-19.19,-56.43
3,06:24:55,26/09/24,196,4,0,,
1,06:34:54,26/09/24,52,1,0,,
2,06:34:54,26/09/24,160,3,0,-22.09,-55.96
3,06:34:54,26/09/24,136,2,0,,
1,06:44:54,26/09/24,64,2,0,,
2,06:44:54,26/09/24,236,5,0,-24.03,-55.38
3,06:44:54,26/09/24,208,4,0,,
1,06:54:41,26/09/24,104,2,0,,
2,06:54:41,26/09/24,336,7,4,0.00,-30.00
3,06:54:41,26/09/24,296,6,4,,
1,07:04:43,26/09/24,268,6,0,,
2,07:04:43,26/09/24,848,17,14,0.00,0.00
3,07:04:43,26/09/24,768,16,14,,
1,07:14:46,26/09/24,176,4,0,,
2,07:14:46,26/09/24,488,10,6,-27.24,-53.01
3,07:14:46,26/09/24,448,10,4,,
1,07:24:44,26/09/24,104,2,0,,
2,07:24:44,26/09/24,288,6,4,-30.00,-30.00
3,07:24:44,26/09/24,268,5,0,,
1,07:34:41,26/09/24,192,4,0,,
2,07:34:41,26/09/24,628,13,6,0.00,0.00
3,07:34:41,26/09/24,572,12,6,,
1,07:44:43,26/09/24,160,3,0,,
2,07:44:43,26/09/24,512,10,6,0.00,0.00
3,07:44:43,26/09/24,472,10,4,,
1,07:54:43,26/09/24,212,4,0,,
2,07:54:43,26/09/24,740,15,10,0.00,0.00
3,07:54:43,26/09/24,548,11,6,,
1,08:04:43,26/09/24,384,8,4,,
2,08:04:43,26/09/24,1168,24,26,0.00,0.00
3,08:04:43,26/09/24,828,17,14,,
1,08:14:46,26/09/24,352,7,4,,
