panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
3,16:43:43,01/10/24,1196,25,30,,
1,16:53:44,01/10/24,11400,233,2658,,
2,16:53:44,01/10/24,1680,34,56,-14.12,55.72
3,16:53:44,01/10/24,960,20,20,,
1,17:03:44,01/10/24,10276,210,2160,,
2,17:03:44,01/10/24,1436,29,42,-9.83,56.22
3,17:03:44,01/10/24,844,17,16,,
1,17:13:44,01/10/24,8384,171,1438,,
2,17:13:44,01/10/24,1200,24,30,-3.34,56.61
3,17:13:44,01/10/24,708,14,10,,
1,17:23:45,01/10/24,1348,28,40,,
2,17:23:45,01/10/24,984,20,20,7.25,56.88
3,17:23:45,01/10/24,564,11,6,,
1,17:33:54,01/10/24,928,19,20,,
2,17:33:54,01/10/24,712,14,10,25.42,57.06
3,17:33:54,01/10/24,412,8,4,,
1,17:44:04,01/10/24,492,10,6,,
2,17:44:04,01/10/24,364,7,4,53.77,57.12
3,17:44:04,01/10/24,252,5,0,,
1,17:54:13,01/10/24,152,3,0,,
2,17:54:13,01/10/24,92,2,0,83.21,57.07
3,17:54:13,01/10/24,108,2,0,,
1,05:34:11,02/10/24,36,1,0,,
2,05:34:11,02/10/24,32,1,0,84.02,-57.03
3,05:34:11,02/10/24,92,2,0,,
1,05:44:09,02/10/24,64,1,0,,
2,05:44:09,02/10/24,80,2,0,57.36,-57.09
3,05:44:09,02/10/24,116,2,0,,
1,05:54:05,02/10/24,128,3,0,,
2,05:54:05,02/10/24,200,4,0,30.19,-57.04
3,05:54:05,02/10/24,148,3,0,,
1,06:04:01,02/10/24,264,5,0,,
2,06:04:01,02/10/24,248,6,0,11.31,-56.88
3,06:04:01,02/10/24,220,4,0,,
1,06:13:44,02/10/24,520,11,6,,
2,06:13:44,02/10/24,484,11,4,-0.17,-56.61
3,06:13:44,02/10/24,456,9,4,,
1,06:23:43,02/10/24,756,15,14,,
2,06:23:43,02/10/24,884,17,16,0.00,-30.00
3,06:23:43,02/10/24,708,15,10,,
1,06:33:43,02/10/24,872,18,16,,
2,06:33:43,02/10/24,1184,23,30,0.00,0.00
3,06:33:43,02/10/24,1036,21,22,,
1,06:43:43,02/10/24,1264,26,32,,
2,06:43:43,02/10/24,1600,33,50,0.00,0.00
3,06:43:43,02/10/24,1508,31,50,,
1,06:53:43,02/10/24,2044,42,86,,
2,06:53:43,02/10/24,2072,44,78,0.00,-30.00
3,06:53:43,02/10/24,1844,38,72,,
1,07:03:43,02/10/24,6608,134,892,,
2,07:03:43,02/10/24,5296,166,272,0.00,-60.00
3,07:03:43,02/10/24,1852,38,72,,
1,07:13:43,02/10/24,14300,291,4164,,
2,07:13:43,02/10/24,5408,176,318,0.00,-60.00
3,07:13:43,02/10/24,2536,53,134,,
1,07:23:46,02/10/24,16288,332,5414,,
2,07:23:46,02/10/24,11280,152,1718,-30.00,-60.00
3,07:23:46,02/10/24,3896,81,318,,
1,07:33:42,02/10/24,4708,96,452,,
2,07:33:42,02/10/24,5028,90,456,0.00,-30.00
3,07:33:42,02/10/24,4304,90,390,,
1,07:43:43,02/10/24,3172,64,206,,
2,07:43:43,02/10/24,3888,80,272,0.00,0.00
3,07:43:43,02/10/24,3620,76,276,,
1,07:53:43,02/10/24,3000,61,184,,
2,07:53:43,02/10/24,3976,79,302,0.00,0.00
3,07:53:43,02/10/24,3612,75,276,,
1,08:03:46,02/10/24,964,20,20,,
2,08:03:46,02/10/24,1872,34,72,-25.35,-46.82
3,08:03:46,02/10/24,1772,37,66,,
1,08:13:41,02/10/24,1360,28,40,,
2,08:13:41,02/10/24,1896,38,72,0.00,0.00
3,08:13:41,02/10/24,1636,34,56,,
1,08:23:45,02/10/24,1324,27,36,,
2,08:23:45,02/10/24,1732,34,58,-26.26,-43.80
3,08:23:45,02/10/24,1696,35,58,,
1,08:33:44,02/10/24,1048,21,22,,
2,08:33:44,02/10/24,1464,29,42,-30.00,0.00
3,08:33:44,02/10/24,1420,29,42,,
1,08:43:42,02/10/24,1176,24,30,,
2,08:43:42,02/10/24,1476,29,42,0.00,0.00
3,08:43:42,02/10/24,1392,29,40,,
1,08:53:43,02/10/24,1688,34,58,,
2,08:53:43,02/10/24,1956,37,72,0.00,0.00
3,08:53:43,02/10/24,1788,37,68,,
1,09:03:43,02/10/24,1696,35,58,,
2,09:03:43,02/10/24,2084,42,82,0.00,0.00
3,09:03:43,02/10/24,1912,40,76,,
1,09:13:43,02/10/24,2824,57,164,,
2,09:13:43,02/10/24,3000,57,174,0.00,0.00
3,09:13:43,02/10/24,2636,55,144,,
1,09:23:43,02/10/24,2080,42,88,,
2,09:23:43,02/10/24,2260,46,96,0.00,0.00
3,09:23:43,02/10/24,2060,43,88,,
1,09:33:43,02/10/24,1884,38,72,,
2,09:33:43,02/10/24,2196,44,92,0.00,0.00
3,09:33:43,02/10/24,1896,39,76,,
1,09:43:43,02/10/24,1904,39,76,,
2,09:43:43,02/10/24,2144,44,86,0.00,0.00
3,09:43:43,02/10/24,1948,41,78,,
1,09:53:43,02/10/24,1204,25,30,,
2,09:53:43,02/10/24,1436,29,42,0.00,0.00
3,09:53:43,02/10/24,1272,26,32,,
1,10:03:43,02/10/24,1532,31,50,,
2,10:03:43,02/10/24,1972,40,78,0.00,0.00
3,10:03:43,02/10/24,1704,35,62,,
1,10:13:43,02/10/24,2192,45,98,,
2,10:13:43,02/10/24,2480,50,124,0.00,0.00
3,10:13:43,02/10/24,2332,49,114,,
1,10:23:43,02/10/24,3024,61,186,,
2,10:23:43,02/10/24,3452,69,240,0.00,0.00
3,10:23:43,02/10/24,3064,64,196,,
1,10:33:43,02/10/24,3888,79,308,,
2,10:33:43,02/10/24,4252,84,360,0.00,0.00
3,10:33:43,02/10/24,3800,79,302,,
1,10:43:43,02/10/24,3004,61,184,,
2,10:43:43,02/10/24,3296,66,220,0.00,0.00
3,10:43:43,02/10/24,2964,62,184,,
1,10:53:43,02/10/24,2908,59,174,,
2,10:53:43,02/10/24,3172,63,194,0.00,0.00
3,10:53:43,02/10/24,2696,56,150,,
1,11:03:43,02/10/24,3568,73,262,,
2,11:03:43,02/10/24,3824,75,288,0.00,0.00
3,11:03:43,02/10/24,3256,68,222,,
1,11:13:43,02/10/24,5136,104,538,,
2,11:13:43,02/10/24,5448,106,580,0.00,0.00
3,11:13:43,02/10/24,4720,99,466,,
1,11:23:43,02/10/24,5528,112,622,,
2,11:23:43,02/10/24,6072,119,728,0.00,0.00
3,11:23:43,02/10/24,5124,107,550,,
1,11:33:43,02/10/24,5140,105,540,,
2,11:33:43,02/10/24,5560,110,616,0.00,0.00
3,11:33:43,02/10/24,4656,97,456,,
1,11:43:43,02/10/24,6200,126,784,,
2,11:43:43,02/10/24,6704,133,872,0.00,0.00
3,11:43:43,02/10/24,5628,118,666,,
1,11:53:43,02/10/24,6164,125,776,,
2,11:53:43,02/10/24,6400,128,774,0.00,0.00
3,11:53:43,02/10/24,5620,117,662,,
1,12:03:43,02/10/24,5984,122,730,,
2,12:03:43,02/10/24,6276,126,738,0.00,0.00
3,12:03:43,02/10/24,5380,113,610,,
1,12:13:43,02/10/24,7908,161,1274,,
2,12:13:43,02/10/24,8112,162,1258,0.00,0.00
3,12:13:43,02/10/24,7248,152,1102,,
1,12:23:43,02/10/24,9884,201,1992,,
2,12:23:43,02/10/24,9944,198,1970,0.00,0.00
3,12:23:43,02/10/24,9200,193,1776,,
1,12:33:46,02/10/24,9688,197,1916,,
2,12:33:46,02/10/24,9216,183,1690,-28.86,12.25
3,12:33:46,02/10/24,8672,182,1580,,
1,12:43:44,02/10/24,15528,317,4926,,
2,12:43:44,02/10/24,15344,306,4686,-28.81,14.67
3,12:43:44,02/10/24,15860,332,5276,,
1,12:53:44,02/10/24,18588,380,7072,,
2,12:53:44,02/10/24,18628,371,6928,-28.75,17.06
3,12:53:44,02/10/24,18504,388,7186,,
1,13:03:44,02/10/24,18732,383,7182,,
2,13:03:44,02/10/24,18660,372,6954,-30.00,30.00
3,13:03:44,02/10/24,18656,391,7308,,
1,13:13:44,02/10/24,14832,304,4508,,
2,13:13:44,02/10/24,14120,282,3984,-28.58,21.75
3,13:13:44,02/10/24,13784,289,3992,,
1,13:23:43,02/10/24,7244,148,1078,,
2,13:23:43,02/10/24,6672,134,894,-28.48,24.03
3,13:23:43,02/10/24,5728,120,688,,
1,13:33:41,02/10/24,9692,198,1920,,
2,13:33:41,02/10/24,8548,170,1458,0.00,30.00
3,13:33:41,02/10/24,8096,170,1374,,
1,13:43:46,02/10/24,19084,390,7458,,
2,13:43:46,02/10/24,18744,374,7020,-30.00,30.00
3,13:43:46,02/10/24,18492,388,7176,,
1,13:53:44,02/10/24,19140,392,7504,,
2,13:53:44,02/10/24,18924,378,7160,-28.08,30.58
3,13:53:44,02/10/24,18576,389,7242,,
1,14:03:41,02/10/24,4872,100,488,,
2,14:03:41,02/10/24,4444,89,396,0.00,30.00
3,14:03:41,02/10/24,3884,81,314,,
1,14:13:43,02/10/24,5984,122,734,,
2,14:13:43,02/10/24,5896,118,694,0.00,30.00
3,14:13:43,02/10/24,5264,110,584,,
1,14:23:43,02/10/24,4040,82,334,,
2,14:23:43,02/10/24,4644,92,432,0.00,0.00
3,14:23:43,02/10/24,3932,82,324,,
1,14:33:43,02/10/24,3512,73,258,,
2,14:33:43,02/10/24,3520,70,250,0.00,30.00
3,14:33:43,02/10/24,2940,61,180,,
1,14:43:45,02/10/24,3528,73,258,,
2,14:43:45,02/10/24,3156,63,200,-26.98,40.29
3,14:43:45,02/10/24,3052,64,196,,
1,14:53:41,02/10/24,4448,91,406,,
2,14:53:41,02/10/24,4576,93,426,0.00,0.00
3,14:53:41,02/10/24,4268,89,384,,
1,15:03:43,02/10/24,4708,96,452,,
2,15:03:43,02/10/24,4460,89,396,0.00,30.00
3,15:03:43,02/10/24,3360,70,236,,
1,15:13:45,02/10/24,6496,133,866,,
2,15:13:45,02/10/24,5960,119,712,-25.88,45.22
3,15:13:45,02/10/24,4256,89,380,,
1,15:23:43,02/10/24,4740,97,462,,
2,15:23:43,02/10/24,4036,81,328,-25.40,46.70
3,15:23:43,02/10/24,3100,65,200,,
1,15:33:43,02/10/24,5428,111,602,,
2,15:33:43,02/10/24,4728,94,448,-24.83,48.09
